"idtournament","name","town","long_name","date_start","date_end","tour_count","tour_questions","tour_ques_per_tour","questions_total","type_name","main_payment_value","discounted_payment_value","discounted_payment_reason","date_requests_allowed_to","comment","site_url","main_payment_currency","discounted_payment_currency"
"3787","Синхрон студенческого фестиваля Этажи","","Синхронный турнир студенческого фестиваля ""Этажи-2016""","2016-04-15 14:00:00","2016-04-19 14:00:00","3","12","","36","Синхрон","0","0","","2016-04-15","","","",""
"3675","Поволжская лига","","Поволжская лига по ""Что? Где? Когда?""","2016-04-10 11:00:00","2016-04-10 17:00:00","7","10","","70","Синхрон","0","0","","2016-04-08","","http://kit-saransk.ru/","",""
"4156","Открытый кубок Дальнего Востока","Владивосток","Открытый кубок Дальневосточного федерального университета по интеллектуальным играм","2017-04-08 02:00:00","2017-04-09 12:00:00","6","15","","90","Обычный","3600","2400","Школьники и студенты","","","","руб","руб"
"2631","Енисейская знать","Красноярск","VII Межрегиональный чемпионат по интеллектуальных игр ""Енисейская знать""","2013-10-26 00:00:00","2013-10-27 00:00:00","4","15","","60","Обычный","700","300","для школьных команд","","","http://www.asiri.ru","руб","$"
"1513","Кубок Кызылкумов","Зарафшан","","2010-09-03 00:00:00","2010-09-05 00:00:00","","","","","Обычный","","","","","","http://uzchgk.forumbb.ru/viewtopic.php?id=109","",""
"665","Чемпионат Узбекистана","Ташкент","","2010-05-29 00:00:00","2010-05-30 00:00:00","","","","","Обычный","","","","","","","",""
"509","Открытый кубок Ташкента","Ташкент","","2009-08-08 00:00:00","2009-08-09 00:00:00","","","","","Обычный","","","","","","","",""
"456","Чемпионат Узбекистана","Ташкент","","2009-05-10 00:00:00","2009-05-10 00:00:00","","","","","Обычный","","","","","","","",""
"4921","Школьный чемпионат России","Санкт-Петербург","Чемпионат России среди школьных команд","2018-04-30 10:00:00","2018-05-01 16:00:00","7","12","","84","Обычный","0","","","","","http://shchr.chgk.info/champ2018/","",""
"4045","Выборгская русалочка","Выборг","XVIII открытый юношеский турнир по интеллектуальным играм «Что? Где? Когда?» и «Брейн-ринг» «ВЫБОРГСКАЯ РУСАЛОЧКА-2016» памяти И. С. Мальского","2016-10-09 10:00:00","2016-10-09 15:30:00","3","12","","36","Обычный","300","0","","","","https://vk.com/club457805","руб",""
"4946","Кубок Хэллоуина","","IX Международный синхронный турнир Кубок Хэллоуина-2018","2018-10-26 14:00:00","2018-10-30 14:00:00","3","13","","39","Синхрон","7","","","2018-10-28","","","$",""
"5026","Кубок Кинешмы","Кинешма","Второй открытый Кубок Кинешмы ""Волжская сторона""","2018-07-21 13:00:00","2018-07-21 17:00:00","4","12","","48","Обычный","1500","","","","","","руб",""
